event_time,value
2019-03-15 11:49:00,94.7818832397461
2019-03-15 11:48:00,94.78609466552734
2019-03-15 11:47:00,94.80596923828125
2019-03-15 11:46:00,94.82583618164062
2019-03-15 11:45:00,94.7279052734375
2019-03-15 11:44:00,94.7132339477539
2019-03-15 11:43:00,94.78463745117188
2019-03-15 11:42:00,94.79312133789062
2019-03-15 11:41:00,94.73736572265625
2019-03-15 11:40:00,94.7525863647461
2019-03-15 11:39:00,94.72622680664062
2019-03-15 11:38:00,94.7048568725586
2019-03-15 11:37:00,94.73277282714844
2019-03-15 11:36:00,94.75923156738281
2019-03-15 11:35:00,94.79039001464844
2019-03-15 11:34:00,94.81525421142578
2019-03-15 11:33:00,94.8318862915039
2019-03-15 11:32:00,94.84851837158203
2019-03-15 11:31:00,94.86515808105469
2019-03-15 11:30:00,94.87159729003906
2019-03-15 11:29:00,94.77220916748047
2019-03-15 11:28:00,94.73074340820312
2019-03-15 11:27:00,94.85635375976562
2019-03-15 11:26:00,94.96842956542969
2019-03-15 11:25:00,94.94945526123047
2019-03-15 11:24:00,94.93423461914062
2019-03-15 11:23:00,94.93962860107422
2019-03-15 11:22:00,94.85596466064453
2019-03-15 11:21:00,94.76004791259766
2019-03-15 11:20:00,94.7682113647461
2019-03-15 11:19:00,94.9193115234375
2019-03-15 11:18:00,95.02951049804688
2019-03-15 11:17:00,95.01177215576172
2019-03-15 11:16:00,94.99876403808594
2019-03-15 11:15:00,94.98576354980469
2019-03-15 11:14:00,94.9727554321289
2019-03-15 11:13:00,94.95974731445312
2019-03-15 11:12:00,94.97980499267578
2019-03-15 11:11:00,95.01856994628906
2019-03-15 11:10:00,95.03472137451172
2019-03-15 11:09:00,95.01200866699219
2019-03-15 11:08:00,95.05839538574219
2019-03-15 11:07:00,95.02188110351562
2019-03-15 11:06:00,95.00934600830078
2019-03-15 11:05:00,94.99752044677734
2019-03-15 11:04:00,94.98568725585938
2019-03-15 11:03:00,94.99571990966797
2019-03-15 11:02:00,95.02448272705078
2019-03-15 11:01:00,95.11519622802734
2019-03-15 11:00:00,95.17494201660156
2019-03-15 10:59:00,95.12265014648438
2019-03-15 10:58:00,94.94742584228516
2019-03-15 10:57:00,94.9702377319336
2019-03-15 10:56:00,94.95252990722656
2019-03-15 10:55:00,94.99834442138672
2019-03-15 10:54:00,95.12981414794922
2019-03-15 10:53:00,95.22296905517578
2019-03-15 10:52:00,95.19273376464844
2019-03-15 10:51:00,95.14285278320312
2019-03-15 10:50:00,95.19913482666016
2019-03-15 10:49:00,95.2429428100586
2019-03-15 10:48:00,95.26378631591797
2019-03-15 10:47:00,95.2824478149414
2019-03-15 10:46:00,95.18017578125
2019-03-15 10:45:00,95.12583923339844
2019-03-15 10:44:00,95.15708923339844
2019-03-15 10:43:00,95.19721984863281
2019-03-15 10:42:00,95.22669982910156
2019-03-15 10:41:00,95.25914001464844
2019-03-15 10:40:00,95.10383605957031
2019-03-15 10:39:00,95.103515625
2019-03-15 10:38:00,95.14643859863281
2019-03-15 10:37:00,95.21151733398438
2019-03-15 10:36:00,95.3316421508789
2019-03-15 10:35:00,95.49159240722656
2019-03-15 10:34:00,95.35751342773438
2019-03-15 10:33:00,95.32952880859375
2019-03-15 10:32:00,95.31181335449219
2019-03-15 10:31:00,95.30160522460938
2019-03-15 10:30:00,95.40290069580078
2019-03-15 10:29:00,95.40199279785156
2019-03-15 10:28:00,95.38216400146484
2019-03-15 10:27:00,95.27204895019531
2019-03-15 10:26:00,95.26798248291016
2019-03-15 10:25:00,95.42070007324219
2019-03-15 10:24:00,95.47645568847656
2019-03-15 10:23:00,95.42666625976562
2019-03-15 10:22:00,95.3216781616211
2019-03-15 10:21:00,95.29620361328125
2019-03-15 10:20:00,95.37145233154297
2019-03-15 10:19:00,95.47390747070312
2019-03-15 10:18:00,95.49684143066406
2019-03-15 10:17:00,95.3628921508789
2019-03-15 10:16:00,95.41011810302734
2019-03-15 10:15:00,95.50910186767578
2019-03-15 10:14:00,95.53834533691406
2019-03-15 10:13:00,95.51492309570312
2019-03-15 10:12:00,95.50377655029297
2019-03-15 10:11:00,95.53108978271484
2019-03-15 10:10:00,95.5655517578125
2019-03-15 10:09:00,95.52290344238281
2019-03-15 10:08:00,95.51358795166016
2019-03-15 10:07:00,95.5042724609375
2019-03-15 10:06:00,95.52458953857422
2019-03-15 10:05:00,95.5555648803711
2019-03-15 10:04:00,95.57123565673828
2019-03-15 10:03:00,95.58663940429688
2019-03-15 10:02:00,95.53771209716797
2019-03-15 10:01:00,95.49574279785156
2019-03-15 10:00:00,95.55162048339844
2019-03-15 09:59:00,95.71388244628906
2019-03-15 09:58:00,95.74893188476562
2019-03-15 09:57:00,95.70310974121094
2019-03-15 09:56:00,95.59526062011719
2019-03-15 09:55:00,95.59432220458984
2019-03-15 09:54:00,95.71392059326172
2019-03-15 09:53:00,95.7563705444336
2019-03-15 09:52:00,95.60259246826172
2019-03-15 09:51:00,95.45960998535156
2019-03-15 09:50:00,95.4828109741211
2019-03-15 09:49:00,95.59407806396484
2019-03-15 09:48:00,95.68082427978516
2019-03-15 09:47:00,95.7815933227539
2019-03-15 09:46:00,95.93328094482422
2019-03-15 09:45:00,95.86327362060547
2019-03-15 09:44:00,95.7022476196289
2019-03-15 09:43:00,95.62517547607422
2019-03-15 09:42:00,95.60279846191406
2019-03-15 09:41:00,95.7420883178711
2019-03-15 09:40:00,95.91584777832031
2019-03-15 09:39:00,95.92797088623047
2019-03-15 09:38:00,95.83943176269531
2019-03-15 09:37:00,95.73577117919922
2019-03-15 09:36:00,95.72531127929688
2019-03-15 09:35:00,95.75885772705078
2019-03-15 09:34:00,95.80143737792969
2019-03-15 09:33:00,95.90511322021484
2019-03-15 09:32:00,95.98009490966797
2019-03-15 09:31:00,95.94892120361328
2019-03-15 09:30:00,95.86510467529297
2019-03-15 09:29:00,95.7978286743164
2019-03-15 09:28:00,95.86381530761719
2019-03-15 09:27:00,95.94303894042969
2019-03-15 09:26:00,95.89131927490234
2019-03-15 09:25:00,95.91363525390625
2019-03-15 09:24:00,95.9879379272461
2019-03-15 09:23:00,96.09861755371094
2019-03-15 09:22:00,95.86289978027344
2019-03-15 09:21:00,95.79286193847656
2019-03-15 09:20:00,95.82102966308594
2019-03-15 09:19:00,95.93405151367188
2019-03-15 09:18:00,96.05928039550781
2019-03-15 09:17:00,96.17484283447266
2019-03-15 09:16:00,96.1805648803711
2019-03-15 09:15:00,95.98170471191406
2019-03-15 09:14:00,95.91899871826172
2019-03-15 09:13:00,95.91990661621094
2019-03-15 09:12:00,96.0405502319336
2019-03-15 09:11:00,96.17955017089844
